Date	Rating	Rounds
21-Jul-2009	997	24
19-May-2009	1001	18
25-Nov-2008	998	20
24-Jun-2008	992	22
29-Jan-2008	990	22
28-Aug-2007	981	21
26-Jun-2007	985	19
19-Dec-2006	984	22
27-Jun-2006	990	36
18-Apr-2006	989	36
15-Dec-2005	991	37
15-Sep-2005	989	39
15-Jul-2005	995	39
15-May-2005	996	34
15-Dec-2004	991	31
15-Sep-2004	998	30
15-Jul-2004	999	21
15-May-2004	1004	27
15-Feb-2004	1006	29
15-Dec-2003	1006	29
15-Sep-2003	997	29
15-Jul-2003	997	26
15-May-2003	999	19
15-Mar-2003	1000	22
31-Dec-2002	1001	22
30-Sep-2002	996	22
28-Jul-2002	1001	23
27-May-2002	1006	26
31-Mar-2002	1001	27
16-Dec-2001	1003	26
26-Aug-2001	1005	24
1-Jul-2001	1001	27
29-Apr-2001	992	25
16-Dec-2000	992	23
27-Aug-2000	992	26
25-Jun-2000	990	24
30-Apr-2000	1002	17
31-Oct-1999	998	30
29-Aug-1999	996	29
27-Jun-1999	992	28
25-Apr-1999	987	25
15-Nov-1998	986	21
8-Aug-1998	978	11
